Track Name,Artist Names,YouTube URL,Views
#Cookie Jar,Red Velvet,https://www.youtube.com/watch?v=rRgTMs_bGuI,38368808
%%(Eung Eung(응응)),Apink,https://www.youtube.com/watch?v=499YUeNoYVE,44937308
%%(응응),Apink,https://www.youtube.com/watch?v=499YUeNoYVE,44937308
'그리운 밤' (nostalgic night),VICTON,https://www.youtube.com/watch?v=UOXkpWuwfy8,7957724
'너에게 못했던 내 마지막 말은,Davichi,https://www.youtube.com/watch?v=84R5AS0tfkQ,3960742
'너에게 못했던 내 마지막 말은,Davichi,https://www.youtube.com/watch?v=Jov5h_DuED4,13226746
'또또또 (feat. MINO),Jinu,https://www.youtube.com/watch?v=dzUALQqbARo,14046872
'불나방 (I’M ON FIRE) (feat. Blue.D),Eun Ji-won,https://www.youtube.com/watch?v=iR7HsIrFqoU,12974776
'척 (Telephone) (feat. 10CM),EXO-SC,https://www.youtube.com/watch?v=5Lw38CVAVxw,17976334
+82 Bars,SUPERBEE,https://www.youtube.com/watch?v=HwL_D9DStf4,14637
+DONE161201+,CL,https://www.youtube.com/watch?v=_DQXWaIcwGc,10866851
00:00 (Zero O’Clock),BTS,https://www.youtube.com/watch?v=K7BMF0ozFS0,60999411
010(gong-il-gong),LEEWOO,https://www.youtube.com/watch?v=OJmZfihhhb4,166309
0310,Yerin Baek,https://www.youtube.com/watch?v=lgjudfWgB24,7392707
0415,Yerin Baek,https://www.youtube.com/watch?v=K9ivJTc1Ls4,756147
07 Britney,Chelsea Collins,https://www.youtube.com/watch?v=fTAD5lqMU18,8487499
0X1=LOVESONG (I Know I Love You) (feat. Seori),TOMORROW X TOGETHER,https://www.youtube.com/watch?v=d5bbqKYu51w,57731756
1-800-273-8255 (feat. Alessia Cara & Khalid),Logic,https://www.youtube.com/watch?v=Kb24RrHIbFk,432624225
"1. 크리스마스니까 (Sung Si-kyung, 박효신(Park Hyo Shin), Lee Seok Hoon, Seo In-guk & VIXX)","Sung Si-kyung, Park Hyo Shin, Lee Seok Hoon, Seo In-guk & VIXX",https://www.youtube.com/watch?v=JkRKxxLiDNI,6759335
"10,000 Hours",Dan + Shay & Justin Bieber,https://www.youtube.com/watch?v=Y2E71oe0aSM,224832227
100,SuperM,https://www.youtube.com/watch?v=nyzhtvtJWDQ,27478633
1000%,SummerWish,https://www.youtube.com/watch?v=PTSmcPq3CzU,1495525
10억뷰 (1 Billion Views) (feat. Moon Sujin),EXO-SC,https://www.youtube.com/watch?v=9sLaT9eHAYQ,20116139
10월의 어느 멋진 날에,Kim Dong Kyu,https://www.youtube.com/watch?v=eCeuIuoS5pA,11608530
119 (feat. GRAY),"Kid Milli, Loopy, SUPERBEE, OLNL, nafla & pH-1",https://www.youtube.com/watch?v=b__ChUeavtk,2845104
11:11,TAEYEON,https://www.youtube.com/watch?v=ulr0muQKjk0,66585277
12:45 (Stripped),Etham,https://www.youtube.com/watch?v=fSzLmXV9pIo,11765034
134340,BTS,https://www.youtube.com/watch?v=lu0XVRP_Bfc,16194889
16 Shots,Stefflon Don,https://www.youtube.com/watch?v=m5TIDDx57-0,189236044
170708 SMTOWN LIVE Ending - ONEW Focus,SM Town,https://www.youtube.com/watch?v=WuiBdljkU2E,187359
180º,BEN,https://www.youtube.com/watch?v=rDG9I9nx0QU,9201856
1도 없어(I'm so sick),Apink,https://www.youtube.com/watch?v=gQmw-Pmv5DQ,6341901
1분 1초,"LEE HYEOP, HWANG YUN SEONG, JOO CHANG UK, KIM DONG YUN, KIM MIN SEO, LEE SUNG JUN(이협, 황윤성, 주창욱, 김동윤, 김민서, 이성준)",https://www.youtube.com/watch?v=I6DiZmeVqJE,6892074
2 KIDS,TAEMIN,https://www.youtube.com/watch?v=7UZRHi0kh3c,8333313
2 Phút Hơn (KAIZ Remix),Pháo & Kaiz,https://www.youtube.com/watch?v=CmmUQZXcHAI,1295341
2002,Anne-Marie,https://www.youtube.com/watch?v=Il-an3K9pjg,627738591
2002,Anne-Marie,https://www.youtube.com/watch?v=N2AXSMY3JYk,1372522
24 Hours,SUNMI,https://www.youtube.com/watch?v=m-XlaEC_e4g,3244389
24시간이 모자라,SUNMI,https://www.youtube.com/watch?v=2UmDrsMlXXg,16996580
25,BOL4,https://www.youtube.com/watch?v=SNS2tOGGGRk,2362274
2U,Kang Daniel,https://www.youtube.com/watch?v=GmqfRBaJm6I,7502152
2YA2YAO!,SUPER JUNIOR,https://www.youtube.com/watch?v=Uqi34thogl4,20011384
3!4!,IZ*ONE,https://www.youtube.com/watch?v=phLh4Mnnn28,2985034
300,Homies,https://www.youtube.com/watch?v=vQINkQCpv-Q,1902406
34+35,Ariana Grande,https://www.youtube.com/watch?v=B6_iQvaIjXw,247632837
