Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Power Up,Red Velvet,3,3447136,-16.8%,https://www.youtube.com/watch?v=aiHSVQy9xN8
2,3,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,9,2684708,6.3%,https://www.youtube.com/watch?v=IHNzOHi8sJs
3,2,Dance The Night Away,TWICE,6,2343644,-21%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
4,7,HANN (Alone) (한) (一),(G)I-DLE,2,2012386,52.9%,https://www.youtube.com/watch?v=OKNXn2qCEws
5,4,BAAM,MOMOLAND,8,1328562,-21.2%,https://www.youtube.com/watch?v=txWmd7QKFe8
6,6,죽겠다(KILLING ME),iKON,4,1285481,-10%,https://www.youtube.com/watch?v=RyVS7R9PN6U
7,14,Love U,CHUNG HA,6,1112353,17.1%,https://www.youtube.com/watch?v=mtLgabce8KQ
8,9,1도 없어(I'm so sick),Apink,8,991346,-14.1%,https://www.youtube.com/watch?v=gQmw-Pmv5DQ
9,12,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,22,956817,-3.7%,https://www.youtube.com/watch?v=1q_t6RNuH8c
10,,Rumor,H.I.N.P(Hot Issue of Ntl. Producers),1,904718,,https://www.youtube.com/watch?v=HtsbVEC_Cmo
11,,BDZ,TWICE,1,897708,,https://www.youtube.com/watch?v=CMNahhgR_ss
12,10,Travel(여행),BOL4,13,881074,-19.5%,https://www.youtube.com/watch?v=xRbPAVnqtcs
13,11,LATATA,(G)I-DLE,9,873226,-12.7%,https://www.youtube.com/watch?v=9mQk7Evt6Vs
14,13,LOVE SCENARIO,iKON,31,806954,-16.3%,https://www.youtube.com/watch?v=vecSVX1QYbQ
15,15,Egotistic(너나 해),MAMAMOO,6,780892,-16.6%,https://www.youtube.com/watch?v=pHtxTSiPh5I
16,18,lie (미안해),Yang Da Il,23,772203,-1.1%,https://www.youtube.com/watch?v=1icPJAhI2TA
17,16,FAKE LOVE,BTS,12,742148,-16.6%,https://www.youtube.com/watch?v=cibTjNJkaMk
18,20,"셋 셀테니 (1, 2, 3!)",SEUNGRI,5,704700,-2.2%,https://www.youtube.com/watch?v=Q7sHwg2Z21U
19,19,What is Love?,TWICE,20,657166,-12.2%,https://www.youtube.com/watch?v=i0p1bmr0EmE
20,21,BBoom BBoom(뿜뿜),MOMOLAND,33,653758,-8.5%,https://www.youtube.com/watch?v=JQGRg8XBnB4
21,22,Sunny Summer(여름여름해),GFRIEND  ,5,620519,-5.7%,https://www.youtube.com/watch?v=9iPLjmz3_U4
22,23,Tale(동화),MeloMance,7,595383,-8.5%,https://www.youtube.com/watch?v=FoYyqHqbnxc
23,17,RETRO FUTURE,Triple H,5,582283,-29.5%,https://www.youtube.com/watch?v=oT8eXpXymmA
24,25,지나오다,Nilo,21,570370,-8.8%,https://www.youtube.com/watch?v=
25,24,Bad Boy,Red Velvet,31,542491,-15.4%,https://www.youtube.com/watch?v=J_CFBjAyPWE
26,40,My Way,ISU,39,516923,45.1%,https://www.youtube.com/watch?v=lXi8y3g4PP4
27,30,A-TEEN,SEVENTEEN,2,498304,5.2%,https://www.youtube.com/watch?v=SrqLA8tRkf8
28,26,밤 (Time for the moon night),GFRIEND  ,17,487635,-17.3%,https://www.youtube.com/watch?v=_XyBa8QsVQU
29,27,좋은 날 (Good Day),MeloMance,6,468976,-15.9%,https://www.youtube.com/watch?v=5uEVbzD_Ta4
30,29,넋두리,--,21,457148,-7.7%,https://www.youtube.com/watch?v=C2Joup07VbA
31,28,너 없인 안 된다 (Only one for me),BTOB,8,444161,-19.2%,https://www.youtube.com/watch?v=fHQkdIGue3k
32,32,Roller Coaster,CHUNG HA,32,428552,-1.9%,https://www.youtube.com/watch?v=900X9fDFLc4
33,47,Girls Like You (feat. Cardi B),Maroon 5,12,411593,25.7%,https://www.youtube.com/watch?v=aJOTlE1K90k
34,31,DNA,BTS,48,394814,-14.5%,https://www.youtube.com/watch?v=MBdVXkSdhwU
35,34,Shine(빛나리),PENTAGON,19,368456,-10%,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
36,39,가을 안부 (When Autumn Comes),Monday Kiz,36,367681,2.5%,https://www.youtube.com/watch?v=rGVRvhm7ddk
37,37,그때 헤어지면 돼 (Only then),Roy Kim,24,338318,-7.4%,https://www.youtube.com/watch?v=SkN_hWI6n28
38,36,Heart Shaker,TWICE,38,331315,-9.7%,https://www.youtube.com/watch?v=rRzxEiBLQCA
39,33,Bingle Bangle(빙글뱅글),AOA,13,331141,-22.9%,https://www.youtube.com/watch?v=ntWSnDV0MYs
40,35,Miss Fortune(불행) (feat. VINXEN),OVAN,10,326442,-14.6%,https://www.youtube.com/watch?v=iD19FVcVBY4
41,41,Work Out,"Jvcki Wai, Kid Milli, NO:EL  , YANGHONGWON & Swings",8,326435,-7.3%,https://www.youtube.com/watch?v=eeT87k7shpA
42,38,Cereal (feat. ZICO),Crush,5,320281,-11.7%,https://www.youtube.com/watch?v=106613NbPQ0
43,,Hookah Hookah (feat. Muhfaad),Bilal Saeed,1,320162,,https://www.youtube.com/watch?v=JfE5Deu8RTU
44,42,Starry Night(별이 빛나는 밤),MAMAMOO,25,314843,-9.5%,https://www.youtube.com/watch?v=LjUXm0Zy_dk
45,49,Likey,TWICE,43,311926,-2.2%,https://www.youtube.com/watch?v=V2hlQkVJZhE
46,50,그날처럼 (Good old days),Jang Deok Cheol,33,309306,-1.9%,https://www.youtube.com/watch?v=v6_GwXU1lkg
47,46,폰서트,10CM,22,307402,-8.7%,https://www.youtube.com/watch?v=mOo8bVzN9M8
48,48,사랑했었다 (Still love you),Lee Hong Gi & --,13,305152,-5.5%,https://www.youtube.com/watch?v=oXCXlPJ57rE
49,45,Havana (feat. Young Thug),Camila Cabello,43,298144,-11.8%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
50,,BAE,Hyolyn,1,297330,,https://www.youtube.com/watch?v=W9hHrW9FsZ0
51,52,비 (Rain),Paul Kim,9,287716,-5.3%,https://www.youtube.com/watch?v=9jFZdu0zTEA
52,51,Believer,Imagine Dragons,15,284746,-9.3%,https://www.youtube.com/watch?v=7wtfhZwyrcc
53,54,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & --",9,281963,1.2%,https://www.youtube.com/watch?v=jd2DxTR0znU
54,,IAM,PRODUCE 48,1,275692,,https://www.youtube.com/watch?v=CPo2Qd4chx4
55,65,"Love, ing (열애중)",BEN,11,264032,19%,https://www.youtube.com/watch?v=WBahioCWfFQ
56,,1000%,SummerWish,1,262683,,https://www.youtube.com/watch?v=PTSmcPq3CzU
57,,CIDER,Norazo,1,257769,,https://www.youtube.com/watch?v=F88BMarwtEw
58,53,SEE SEA(바다보러갈래),Hyolyn,5,249378,-14%,https://www.youtube.com/watch?v=PDAqx45Duqw
59,,See You Again,The Promise,1,246462,,https://www.youtube.com/watch?v=wOymA3_53BI
60,86,행복(Happiness),Red Velvet,15,229294,47.9%,https://www.youtube.com/watch?v=JFgv8bKfxEs
61,,To Reach You,Memory Fabricators,1,223030,,https://www.youtube.com/watch?v=n5peb_o-mkA
62,59,호랑수월가 (feat. 나래),상록수,17,218614,-9%,https://www.youtube.com/watch?v=E73zqwpw0is
63,,Rollin' Rollin',PRODUCE 48,1,216680,,https://www.youtube.com/watch?v=CE8x9oEYaBw
64,55,붕붕 (feat. Sik-K),HAON,19,214915,-20.7%,https://www.youtube.com/watch?v=cDq1vUwM21k
65,8,Page 0,MeloMance & TAEYEON,2,214169,-82.3%,https://www.youtube.com/watch?v=X46z6f24c7o
66,62,보릿고개,Jin Sung,6,210265,-8.9%,https://www.youtube.com/watch?v=whSAYFi9KLs
67,61,Lateness(지각),Jang Deok Cheol,7,206746,-12.6%,https://www.youtube.com/watch?v=zEVuAH8AUwY
68,67,그 날 (The Day),Park Hyo Shin,7,203457,-6.5%,https://www.youtube.com/watch?v=zwvUnK-agb4
69,70,Hello,Huh Gak,9,202942,-2.9%,https://www.youtube.com/watch?v=yY7dRwJnJZ0
70,64,Darkside (feat. Au/Ra & Tomine Harket),Alan Walker,4,194168,-13%,https://www.youtube.com/watch?v=M-P4QBt-FWw
71,60,소리,LEE SUHYUN,4,192644,-18.8%,https://www.youtube.com/watch?v=WczI5vaARzg
72,,Wild Flower,Park Hyo Shin,24,191805,,https://www.youtube.com/watch?v=OxgiiyLp5pk
73,58,Oh My! (어쩌나 ),SEVENTEEN,6,190322,-24.1%,https://www.youtube.com/watch?v=_5PELxP8Udg
74,75,Just Friends(욕심),MeloMance,17,185768,-3.5%,https://www.youtube.com/watch?v=2N1Y9RxAsxg
75,69,홍연,AHN YE EUN,11,183774,-13.2%,https://www.youtube.com/watch?v=B61nm9OHt5A
76,77,Faded,Alan Walker,20,182331,-2.8%,https://www.youtube.com/watch?v=60ItHLz5WEA
77,74,Jasmine,DPR LIVE,6,176495,-10.1%,https://www.youtube.com/watch?v=Jg9NbDizoPM
78,,Perfect,Ed Sheeran,22,175282,,https://www.youtube.com/watch?v=2Vv-BfVoq4g
79,,The Truth Untold (feat. Steve Aoki),BTS,2,173282,,https://www.youtube.com/watch?v=ITc-om9SVr4
80,73,"No Brainer (feat. Justin Bieber, Chance The Rapper & Quavo)",DJ Khaled,4,171355,-13.7%,https://www.youtube.com/watch?v=kxloC1MKTpg
81,84,WHERE R U FROM (feat.MINO),SEUNGRI,5,167904,6.4%,https://www.youtube.com/watch?v=m2MtOeuCgh8
82,79,Chandelier,Sia,15,167708,-8.2%,https://www.youtube.com/watch?v=2vjPBrBU-TM
83,,HI High,Loona,1,166702,,https://www.youtube.com/watch?v=846cjX0ZTrk
84,68,I will show you(보여줄게),AILEE,3,166257,-22.1%,https://www.youtube.com/watch?v=MCEcWcIww5k
85,76,켜줘 (Light),Wanna One,12,163015,-15.3%,https://www.youtube.com/watch?v=J1L3nDC4mEk
86,,COCO BOTTLE,PENOMECO,1,162684,,https://www.youtube.com/watch?v=_xkIImR-wS0
87,,flex,--,1,161370,,https://www.youtube.com/watch?v=rsvJOrI2GfE
88,78,Between Us,LABOUM,3,161053,-12.1%,https://www.youtube.com/watch?v=d4hWIUSi73c
89,88,Natural,Imagine Dragons,4,158802,6.7%,https://www.youtube.com/watch?v=0I647GU3Jsc
90,81,party (SHUT DOWN),Sik-K,5,157967,-9.4%,https://www.youtube.com/watch?v=1_BTuzaRHYU
91,56,Anpanman,BTS,7,157748,-38.7%,https://www.youtube.com/watch?v=EBf6lwkChnQ
92,,Dumb Dumb,Red Velvet,25,154258,,https://www.youtube.com/watch?v=XGdbaEDVWp0
93,,이방인 (Stranger),PARK WON,1,152605,,https://www.youtube.com/watch?v=FcxEI4v8ASY
94,72,When it rains(비가 내리면),BTOB-BLUE,3,151833,-26.4%,https://www.youtube.com/watch?v=bxIYgWaRLgY
95,71,WooWoo,DIA,2,149274,-28.4%,https://www.youtube.com/watch?v=j1OUMTMwVsY
96,90,Attention,Charlie Puth,12,148008,1.2%,https://www.youtube.com/watch?v=nfs8NYg7yQM
97,82,In My Feelings - 'KIKI! DO YOU LOVE ME!' [LOOP],Drake,4,147947,-13.7%,https://www.youtube.com/watch?v=DRS_PpOrUZ4
98,85,Stay,Zedd & Alessia Cara,11,147152,-6.5%,https://www.youtube.com/watch?v=h--P8HzYZ74
99,,슬픈 행진 Sad March,일레인 (elaine),1,140247,,https://www.youtube.com/watch?v=HXjoQYz8Nmk
100,95,2002,Anne-Marie,5,137644,0.6%,https://www.youtube.com/watch?v=Il-an3K9pjg
