Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Boy With Luv (feat. Halsey),BTS,1,11329639,,https://www.youtube.com/watch?v=XsX3ATc3FbA
2,1,Kill This Love,BLACKPINK,2,7306771,-37.7%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
3,3,달라달라(DALLA DALLA),ITZY,10,1867273,-26.6%,https://www.youtube.com/watch?v=pNfTK39k55U
4,2,Violeta (비올레타),IZ*ONE,3,1778983,-33.6%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
5,4,"Bom(나만, 봄)",BOL4,3,1313968,-24.1%,https://www.youtube.com/watch?v=AsXxuIdpkWM
6,5,Rooftop (옥탑방),N.Flying,10,1269736,-16.4%,https://www.youtube.com/watch?v=VpaUh_BGqE0
7,6,사계 (Four Seasons),TAEYEON,4,1117876,-19%,https://www.youtube.com/watch?v=4HG_CJzyX6A
8,9,노래방에서,--,4,996280,-3.3%,https://www.youtube.com/watch?v=BUzI-awsi1s
9,10,2002,Anne-Marie,19,954540,14.1%,https://www.youtube.com/watch?v=Il-an3K9pjg
10,,DNA,BTS,53,878088,,https://www.youtube.com/watch?v=MBdVXkSdhwU
11,8,고고베베 (gogobebe),MAMAMOO,6,847724,-25.3%,https://www.youtube.com/watch?v=-iYg2atmA9w
12,19,IDOL,BTS,34,753681,41.1%,https://www.youtube.com/watch?v=pBuZEGYXA6E
13,24,FAKE LOVE,BTS,41,736751,88.4%,https://www.youtube.com/watch?v=7C2z4GqqS5E
14,12,벌써 12시 (Gotta Go),CHUNG HA,16,678287,-11.9%,https://www.youtube.com/watch?v=HlN2BXNJzxA
15,11,I'm So Hot,MOMOLAND,5,610390,-26%,https://www.youtube.com/watch?v=tsN-MkpiZB0
16,,Boy With Luv (Halsey & BTS(방탄소년단)) (feat. Halsey),Halsey & BTS,1,600364,,https://www.youtube.com/watch?v=8clfdAILyJA
17,15,YES or YES,TWICE,24,597876,-8.2%,https://www.youtube.com/watch?v=mAKsZ26SabQ
18,,HOME,BTS,1,580041,,https://www.youtube.com/watch?v=ghJURdZKq3I
19,13,Senorita,(G)I-DLE,8,563927,-24.8%,https://www.youtube.com/watch?v=2cevbhEqQF4
20,17,SOLO,Jennie,23,547135,-11.4%,https://www.youtube.com/watch?v=b73BI9eUkjM
21,16,Stars over me (별 보러 갈래?),BOL4,3,522706,-16.1%,https://www.youtube.com/watch?v=8n9wklIG9qU
22,14,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,38,475002,-29.4%,https://www.youtube.com/watch?v=IHNzOHi8sJs
23,33,눈 Snow,Lil Tachi & Hotchkiss,2,471697,48.3%,https://www.youtube.com/watch?v=-ZZ90fD86ok
24,18,every moment with you (당신과는 천천히),Jang Beom June,4,459916,-22.6%,https://www.youtube.com/watch?v=yOZNN5xrK2o
25,35,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,5,451503,51.6%,https://www.youtube.com/watch?v=t8P-zdkoeJA
26,22,La Vie en Rose,--,25,409484,-2.5%,https://www.youtube.com/watch?v=WZwr2a_lFWY
27,,Make It Right,BTS,1,406201,,https://www.youtube.com/watch?v=cVVs1loGEVg
