Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Boy With Luv (feat. Halsey),BTS,3,3935308,-20.9%,https://www.youtube.com/watch?v=XsX3ATc3FbA
2,2,FANCY,TWICE,2,3461848,-25.5%,https://www.youtube.com/watch?v=kOHB85vDuow
3,3,Kill This Love,BLACKPINK,4,2838754,-35.2%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
4,4,달라달라(DALLA DALLA),ITZY,12,1548501,-4.2%,https://www.youtube.com/watch?v=pNfTK39k55U
5,5,Violeta (비올레타),IZ*ONE,5,1097856,-23%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
6,7,2002,Anne-Marie,21,1050107,2.6%,https://www.youtube.com/watch?v=Il-an3K9pjg
7,17,bad guy,Billie Eilish,5,1034894,89.9%,https://www.youtube.com/watch?v=DyDfgMOUjCI
8,6,Rooftop (옥탑방),N.Flying,12,991834,-8.8%,https://www.youtube.com/watch?v=VpaUh_BGqE0
9,8,"Bom(나만, 봄)",BOL4,5,836062,-16.2%,https://www.youtube.com/watch?v=AsXxuIdpkWM
10,,ME! (feat. Brendon Urie),Taylor Swift,1,792929,,https://www.youtube.com/watch?v=FuXNumBwDOM
11,9,사계 (Four Seasons),TAEYEON,6,749284,-18.5%,https://www.youtube.com/watch?v=4HG_CJzyX6A
12,11,노래방에서,--,6,607812,-15%,https://www.youtube.com/watch?v=BUzI-awsi1s
13,12,YES or YES,TWICE,26,579945,-11.8%,https://www.youtube.com/watch?v=mAKsZ26SabQ
14,10,벌써 12시 (Gotta Go),CHUNG HA,18,562833,-22.8%,https://www.youtube.com/watch?v=HlN2BXNJzxA
15,13,고고베베 (gogobebe),MAMAMOO,8,509858,-18.6%,https://www.youtube.com/watch?v=-iYg2atmA9w
16,14,IDOL,BTS,36,509027,-11.1%,https://www.youtube.com/watch?v=pBuZEGYXA6E
17,18,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,7,490309,-8.4%,https://www.youtube.com/watch?v=t8P-zdkoeJA
18,16,HERE (feat. VINXEN),Young Kay,3,484025,-11.3%,https://www.youtube.com/watch?v=lYRe0lfx1SE
19,15,I'm So Hot,MOMOLAND,7,466744,-16%,https://www.youtube.com/watch?v=tsN-MkpiZB0
20,23,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,40,451427,0.1%,https://www.youtube.com/watch?v=IHNzOHi8sJs
21,19,SOLO,Jennie,25,429919,-12.4%,https://www.youtube.com/watch?v=b73BI9eUkjM
22,25,La Vie en Rose,--,27,427871,-0.3%,https://www.youtube.com/watch?v=WZwr2a_lFWY
23,32,Earth,Lil Dicky,2,425759,31.5%,https://www.youtube.com/watch?v=pvuN_WvF1to
24,20,FAKE LOVE,BTS,43,423739,-13.1%,https://www.youtube.com/watch?v=7C2z4GqqS5E
25,22,Senorita,(G)I-DLE,10,413622,-10.8%,https://www.youtube.com/watch?v=2cevbhEqQF4
26,24,Maybe It's Not Our Fault(그건 아마 우리의 잘못은 아닐 거야),Yerin Baek,7,406946,-9%,https://www.youtube.com/watch?v=IRNBtocmQ58
27,21,Love is so...,Jang Yoon Jeong,2,382453,-18.7%,https://www.youtube.com/watch?v=Fhh_X9Q0BZg
28,28,7 rings,Ariana Grande,15,381641,2.3%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
29,27,눈 Snow,Lil Tachi & Hotchkiss,4,381494,-6.5%,https://www.youtube.com/watch?v=-ZZ90fD86ok
30,37,If there was practice in love(사랑에 연습이 있었다면),"Lim JaeHyun, Moon SeongWook",5,380342,35.3%,https://www.youtube.com/watch?v=JRdykduaHG0
31,30,Me After You (너를 만나),--,27,332823,-3.2%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
32,29,TWIT (멍청이),Hwa Sa,12,328042,-10%,https://www.youtube.com/watch?v=ScSn235gQx0
33,26,Stars over me (별 보러 갈래?),BOL4,5,325370,-21.5%,https://www.youtube.com/watch?v=8n9wklIG9qU
34,33,신용재 (SHIN YONG JAE),HAEUN,25,322901,0.4%,https://www.youtube.com/watch?v=Y0rK7r-30hs
35,63,Viva La Vida,Coldplay,18,292011,47.1%,https://www.youtube.com/watch?v=dvgZkm1xWPE
36,31,every moment with you (당신과는 천천히),Jang Beom June,6,283338,-17.6%,https://www.youtube.com/watch?v=yOZNN5xrK2o
37,40,Believer,Imagine Dragons,27,267149,-0.6%,https://www.youtube.com/watch?v=7wtfhZwyrcc
38,44,Girls Like You (feat. Cardi B),Maroon 5,39,256629,-0.1%,https://www.youtube.com/watch?v=aJOTlE1K90k
39,39,BAAM,MOMOLAND,39,255111,-5.4%,https://www.youtube.com/watch?v=txWmd7QKFe8
40,50,How about you(너는 어땠을까),--,24,253064,6%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
41,36,Dance The Night Away,TWICE,5,252584,-11.7%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
42,43,Travel(여행),BOL4,30,240962,-8.4%,https://www.youtube.com/watch?v=xRbPAVnqtcs
43,65,지구멸망 (Global Extinction) (feat. KIRIN),sokodomo,2,236886,23.1%,https://www.youtube.com/watch?v=44gnd-CwW-A
44,38,Cat & Dog,TOMORROW X TOGETHER,2,235768,-14.9%,https://www.youtube.com/watch?v=NaKrke1EL1A
45,,Tonight(이 밤),Yang Da Il,1,235360,,https://www.youtube.com/watch?v=Z0NCUPd5i-Y
46,35,HOME,BTS,3,235058,-19.2%,https://www.youtube.com/watch?v=ghJURdZKq3I
47,47,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",45,230203,-6.7%,https://www.youtube.com/watch?v=RL1QmNKVJSE
48,34,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,4,223078,-24.7%,https://www.youtube.com/watch?v=r7qovpFAGrQ
49,58,Paris in the Rain,Lauv,13,219618,3.6%,https://www.youtube.com/watch?v=kOCkne-Bku4
50,,Sunflower,Post Malone & Swae Lee,21,216641,,https://www.youtube.com/watch?v=ApXoWvfEYVU
51,53,comethru,Jeremy Zucker,6,216596,-4.4%,https://www.youtube.com/watch?v=jO2viLEW-1A
52,46,you should see me in a crown,Billie Eilish,2,215652,-14.7%,https://www.youtube.com/watch?v=coLerbRvgsQ
53,61,"GO HIGH (feat. Woo, CHANGMO & The Quiett)",Lee Young-ji,2,209483,2.6%,https://www.youtube.com/watch?v=
54,42,사월이 지나면 우리 헤어져요(Beautiful goodbye),CHEN,4,205174,-22.1%,https://www.youtube.com/watch?v=JrOrlhjIYVk
55,48,She,JANNABI,7,205049,-16%,https://www.youtube.com/watch?v=UbSlWaerUIE
56,,FRIENDS,Marshmello & Anne-Marie,27,198972,,https://www.youtube.com/watch?v=jzD_yyEcp0M
57,73,bury a friend,Billie Eilish,7,197896,17.4%,https://www.youtube.com/watch?v=HUHC9tYz8ik
58,41,"여자친구(Girlfriend) (HAEUN, YOSEP)",HAEUN,8,197530,-25.8%,https://www.youtube.com/watch?v=B2Zwi7gRA88
59,56,Without Me,Halsey,6,193266,-9.6%,https://www.youtube.com/watch?v=ZAfAud_M_mg
60,87,봉봉쇼콜라 (Bon Bon Chocolat),EVERGLOW,5,192424,35.4%,https://www.youtube.com/watch?v=HvGql8HwOIM
61,55,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",6,190604,-13.3%,https://www.youtube.com/watch?v=dhYOPzcsbGM
62,60,Summer(뜨거운 여름밤은 가고 남은 건 볼품없지만),JANNABI,3,188183,-7.9%,https://www.youtube.com/watch?v=Kx8pJzPodsY
63,49,OKGO (feat. E SENS),Beenzino,2,186254,-22.2%,https://www.youtube.com/watch?v=mlwqHWHo-5E
64,,Love Tonight (오늘 밤에),Hong Jin-young,6,184369,,https://www.youtube.com/watch?v=5zONW_hyI5A
65,52,Make It Right,BTS,3,182647,-20.6%,https://www.youtube.com/watch?v=cVVs1loGEVg
66,85,when the party's over,Billie Eilish,4,176945,18.6%,https://www.youtube.com/watch?v=pbMwTqkKSps
67,90,bellyache,Billie Eilish,11,175565,24.4%,https://www.youtube.com/watch?v=gBRi6aZJGj4
68,,Hwi hwi,LABOUM,7,173596,,https://www.youtube.com/watch?v=aehbDMIEmnM
69,92,Freedumb (feat. HAON),sokodomo,4,172499,22.4%,https://www.youtube.com/watch?v=Yjqa_8d2j3Q
70,69,Lemon,Kenshi Yonezu,19,171661,-1.1%,https://www.youtube.com/watch?v=SX_ViT4Ra7k
71,78,Jamais Vu,BTS,3,169660,4.1%,https://www.youtube.com/watch?v=G3x17KyNJtg
72,66,이 노래가 클럽에서 나온다면 (Fire up),Woody,14,169609,-10.7%,https://www.youtube.com/watch?v=MBSpoTozBdg
73,,Spring Memories(봄이 부시게),N.Flying,1,164770,,https://www.youtube.com/watch?v=MK0mQUIktWU
74,62,DDING (띵),"Jvcki Wai, YANGHONGWON, Osshun Gum & Han Yo-han",16,164060,-18.1%,https://www.youtube.com/watch?v=ir7G_H0LFJw
75,71,All Falls Down  (feat. Noah Cyrus & Digital Farm Animals),Alan Walker,7,163857,-4.2%,https://www.youtube.com/watch?v=6RLLOEzdxsM
76,64,IMJMWDP,IMJMWDP,10,160553,-16.8%,https://www.youtube.com/watch?v=uwy5hGT6i7Q
77,57,CROWN (어느날 머리에서 뿔이 자랐다),TOMORROW X TOGETHER,9,160270,-25%,https://www.youtube.com/watch?v=W3iSnJ663II
78,,Wish You Were Gay,Billie Eilish,2,160245,,https://www.youtube.com/watch?v=yaJx0Gj_LCY
79,59,Spring(봄) (feat. Sandara Park),박봄 (Park Bom),7,154480,-24.7%,https://www.youtube.com/watch?v=
80,75,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,20,153050,-7.9%,https://www.youtube.com/watch?v=0IaUogNqQqA
81,72,Symphony (feat. Zara Larsson),Clean Bandit,20,151453,-10.8%,https://www.youtube.com/watch?v=aatr_2MstrI
82,,홍연,AHN YE EUN,21,150855,,https://www.youtube.com/watch?v=B61nm9OHt5A
83,76,We All Lie,Ha Jin,19,150692,-8.8%,https://www.youtube.com/watch?v=PdDfuWJc9dA
84,68,Mermaid,BOL4,4,147497,-18.2%,https://www.youtube.com/watch?v=abVxZTNkcsw
85,,All I Wanna Do [Korean Version] (feat. Hoody & Loco),Jay Park,17,147184,,https://www.youtube.com/watch?v=ME_g_-M52cI
86,,Hard To Say Goodbye,Bae Jin Young,1,146234,,https://www.youtube.com/watch?v=xBY9JVU_3Fw
87,79,7 Years,Lukas Graham,11,145377,-10.5%,https://www.youtube.com/watch?v=LHCob76kigA
88,84,BLUE MOON,Hyolyn & CHANGMO,17,144085,-3.7%,https://www.youtube.com/watch?v=GeJAee3m3Ik
89,,idontwannabeyouanymore,Billie Eilish,3,143553,,https://www.youtube.com/watch?v=-tn2S3kJlyU
90,82,Kick It,BLACKPINK,4,143027,-5.8%,https://www.youtube.com/watch?v=QO5jGAvgf5M
91,,Shine(빛나리),PENTAGON,24,141099,,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
92,,Carry on,Kygo & Rita Ora,1,140808,,https://www.youtube.com/watch?v=BxaR42Vy2LI
93,97,상사화(Magic Lily),AHN YE EUN,2,138623,0.1%,https://www.youtube.com/watch?v=9vpfuRGHxfU
94,,봄 여름 가을 겨울 (SSFW),Chanyeol,1,137824,,https://www.youtube.com/watch?v=U-wDvImWXtA
95,86,i'm so tired...,Lauv & Troye Sivan,14,135329,-4.8%,https://www.youtube.com/watch?v=fvjpE_wFL5A
96,,Who's Your Mama? (feat. Jessi),J.Y. Park ,4,134383,,https://www.youtube.com/watch?v=kUGQ7Tz4os0
97,,너무 보고싶어,Acoustic Collabo,3,133232,,https://www.youtube.com/watch?v=Gi-_ZelhY20
98,74,스토커 (Stalker) (라이브),10CM,7,133022,-20.8%,https://www.youtube.com/watch?v=Iu-NVopNDKU
99,,하루도 그대를 사랑하지 않은 적이 없었다,Im Chang-jung,22,132207,,https://www.youtube.com/watch?v=Xaqpvy-ZbMg
100,,요게벳의 노래 (feat. 조찬미),Yum Pyung-Ahn,9,132147,,https://www.youtube.com/watch?v=knI6bsXeg2U
