Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,ICY,ITZY,2,5486374,-5.5%,https://www.youtube.com/watch?v=zndvqTc4P9I
2,2,2002,Anne-Marie,35,1345190,-18.4%,https://www.youtube.com/watch?v=Il-an3K9pjg
3,7,Phocha,Hwang In Wook,7,1247405,-5.3%,https://www.youtube.com/watch?v=g6uvXiLNrxM
4,4,헤어져줘서 고마워,벤 BEN,5,1237736,-12.1%,https://www.youtube.com/watch?v=KJ1IY9D_Nn8
5,3,Snapping,CHUNG HA,6,1115668,-31.2%,https://www.youtube.com/watch?v=deV_DmHKwjc
6,6,FANCY,TWICE,16,1076301,-19.8%,https://www.youtube.com/watch?v=kOHB85vDuow
7,9,Boy With Luv (feat. Halsey),BTS,17,1050881,-9.8%,https://www.youtube.com/watch?v=XsX3ATc3FbA
8,8,술이 문제야 (Drunk On Love),Jang Hye-jin & Yoon Min Soo,7,1046782,-16.6%,https://www.youtube.com/watch?v=XcbEM7j_ARQ
9,13,오늘도 빛나는 너에게 (To You My Light) (feat. Raon Lee),Maktub,8,1007572,0.5%,https://www.youtube.com/watch?v=kNYA3H1jSSs
10,14,Señorita,Shawn Mendes & Camila Cabello,7,930425,0.5%,https://www.youtube.com/watch?v=Pkh8UtuejGw
11,11,Speechless (Full),Naomi Scott,11,866899,-19.7%,https://www.youtube.com/watch?v=mw5VIEIvuMI
12,10,달라달라(DALLA DALLA),ITZY,26,860334,-22.5%,https://www.youtube.com/watch?v=pNfTK39k55U
13,5,bad guy,Billie Eilish,19,855079,-36.8%,https://www.youtube.com/watch?v=DyDfgMOUjCI
14,18,짐살라빔 (Zimzalabim),Red Velvet,7,755376,12.1%,https://www.youtube.com/watch?v=YBnGBb1wg98
15,17,Kill This Love,BLACKPINK,18,720820,-10.8%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
16,15,Uh-Oh,(G)I-DLE,6,701443,-21.9%,https://www.youtube.com/watch?v=I66oFXdf0KU
17,12,가라사대 (GOTTASADAE),BewhY,2,682192,-33.1%,https://www.youtube.com/watch?v=ckZor7HRU1E
18,83,뭐해(What are you up to),Kang Daniel,2,592461,237%,https://www.youtube.com/watch?v=_-QY40Reub8
19,26,YES or YES,TWICE,40,519206,2.6%,https://www.youtube.com/watch?v=mAKsZ26SabQ
20,19,A Whole New World,Mena Massoud & Naomi Scott,11,509553,-17.2%,https://www.youtube.com/watch?v=eitDnP0_83k
21,20,Fever(열대야),GFRIEND  ,5,473271,-22.8%,https://www.youtube.com/watch?v=Zll7O1v63aY
22,27,Violeta (비올레타),IZ*ONE,19,467758,-6.6%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
23,23,니 소식,Ha Yea Song(송하예),8,464021,-19.8%,https://www.youtube.com/watch?v=eMZmNisWFvM
24,30,Lean On Me (나의 어깨에 기대어요),10CM,3,458007,-2.2%,https://www.youtube.com/watch?v=WD4E_XXd53s
25,47,Dance The Night Away,TWICE,50,455169,31%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
26,28,Another Day,Monday Kiz & Punch,4,445874,-10.3%,https://www.youtube.com/watch?v=G6tW8eKUR1E
27,36,다시 사랑한다면 (니글니글 버터플라이),Kim Feel,2,440304,8.6%,https://www.youtube.com/watch?v=6Cjq9zRUXNs
28,,"f*ck, i'm lonely (feat. Anne-Marie)",Lauv,1,435801,,https://www.youtube.com/watch?v=x_-j5eLR1Rc
29,16,BOOM,NCT DREAM,2,434610,-51.4%,https://www.youtube.com/watch?v=X-iJZ0gfKPo
30,22,Birthday,JEON SOMI,8,415912,-30.5%,https://www.youtube.com/watch?v=oDJ4ct59NC4
31,66,시든 꽃에 물을 주듯,HYNN,2,403447,82.8%,https://www.youtube.com/watch?v=abQ2AYUyrb8
32,34,IDOL,BTS,50,392485,-5.4%,https://www.youtube.com/watch?v=pBuZEGYXA6E
33,,boyfriend,Ariana Grande & Social House,1,390939,,https://www.youtube.com/watch?v=9SRxBTtspYM
34,33,All about you (그대라는 시),TAEYEON,2,388869,-14.1%,https://www.youtube.com/watch?v=QF7FydI-TZQ
35,29,La Vie en Rose,--,41,387383,-19.5%,https://www.youtube.com/watch?v=WZwr2a_lFWY
