Track Name,Artist Names,YouTube URL,Views
Despacito,Luis Fonsi & Daddy Yankee,https://www.youtube.com/watch?v=kJQP7kiw5Fk,7695749812.0
Despacito (Sam Tsui & Alyson Stoner) (feat. Daddy Yankee),Luis Fonsi,https://www.youtube.com/watch?v=kJQP7kiw5Fk,7695749812.0
Shape of You,Ed Sheeran,https://www.youtube.com/watch?v=JGwWNGJdvx8,5581217599.0
See You Again (feat. Charlie Puth),Wiz Khalifa,https://www.youtube.com/watch?v=RgKAFK5djSk,5379823627.0
강남스타일 (GANGNAM STYLE),PSY,https://www.youtube.com/watch?v=9bZkp7q19f0,4302580332.0
Sugar,Maroon 5,https://www.youtube.com/watch?v=09R8_2nJtjg,3621017099.0
Sorry,Justin Bieber,https://www.youtube.com/watch?v=fRh_vgS2dFE,3500201178.0
Counting Stars,OneRepublic,https://www.youtube.com/watch?v=hT_nvWreIhg,3479899127.0
Thinking out Loud,Ed Sheeran,https://www.youtube.com/watch?v=lp-EO5I60KA,3386586893.0
Girls Like You (feat. Cardi B),Maroon 5,https://www.youtube.com/watch?v=aJOTlE1K90k,3211716452.0
Faded,Alan Walker,https://www.youtube.com/watch?v=60ItHLz5WEA,3209319720.0
Let Her Go,Passenger,https://www.youtube.com/watch?v=RBumgq5yVrA,3148976981.0
Perfect,Ed Sheeran,https://www.youtube.com/watch?v=2Vv-BfVoq4g,3059919361.0
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,https://www.youtube.com/watch?v=3AtDnEC4zak,2766814915.0
Let It Go,Idina Menzel,https://www.youtube.com/watch?v=L0MK7qz13bU,2711725211.0
New Rules,Dua Lipa,https://www.youtube.com/watch?v=k2qgadSvNyU,2578030942.0
Chandelier,Sia,https://www.youtube.com/watch?v=2vjPBrBU-TM,2457370899.0
Taki Taki,DJ Snake,https://www.youtube.com/watch?v=ixkoVwKQaJg,2236666442.0
Treat You Better,Shawn Mendes,https://www.youtube.com/watch?v=lY2yjAdbvdQ,2180813113.0
Believer,Imagine Dragons,https://www.youtube.com/watch?v=7wtfhZwyrcc,2118859588.0
Something Just Like This,The Chainsmokers & Coldplay,https://www.youtube.com/watch?v=FM7MFYoylVs,2019923767.0
Side To Side (feat. Nicki Minaj),Ariana Grande,https://www.youtube.com/watch?v=SXiSVQZLje8,1970243242.0
Rolling in the Deep,Adele,https://www.youtube.com/watch?v=rYEDA3JcQqw,1956116822.0
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,https://www.youtube.com/watch?v=IHNzOHi8sJs,1782342219.0
DDU-DU DDU-DU (뚜두뚜두),BLACKPINK,https://www.youtube.com/watch?v=IHNzOHi8sJs,1782334487.0
Thunder,Imagine Dragons,https://www.youtube.com/watch?v=fKopy74weus,1765239813.0
DANCE MONKEY,Tones and I,https://www.youtube.com/watch?v=q0hyYWKXF0Q,1763335564.0
Sunflower,Post Malone & Swae Lee,https://www.youtube.com/watch?v=ApXoWvfEYVU,1682642378.0
Swalla (feat. Ty Dolla $ign & Nicki Minaj),Jason Derulo,https://www.youtube.com/watch?v=NGLxoKOvzu4,1651660118.0
